headline	lead_paragraph	web_url
Martyl Langsdorf, 96, Designer of the Doomsday Clock	"Martyl Langsdorf’s clock has yet to strike midnight.
 
In 1953, with the United States and the Soviet Union testing hydrogen bombs and the cold war increasingly frigid, that ominous minute hand of hers stood just two ticks from the symbolically catastrophic 12. By 1991, after the signing of the Strategic Arms Reduction Treaty, it retreated to a relatively reassuring 11:43 p.m."	http://query.nytimes.com/gst/fullpage.html?res=950CE1DA123FF93BA25757C0A9659D8B63
Franco Biondi Santi, 91, Heir&#xd; Of Brunello Wine Originator	"More than 100 years ago, Franco Biondi Santi’s grandfather virtually invented Brunello di Montalcino, a Tuscan red wine that was little known until late in the 20th century. Since 1888, his family alone has produced it continuously.
 
A pale ruby wine made entirely of the sangiovese grape, it was typically stern and angular in its youth. But those with the patience to age it for 15 years or more were rewarded as the wine revealed a purity and complexity that belied its austere youth."	http://query.nytimes.com/gst/fullpage.html?res=9401E2D9103FF93BA25757C0A9659D8B63
Carl Williams, 53, Champ Who Ducked No One	"Carl Williams, a former heavyweight champion who built a reputation for climbing into the ring with the best boxers of his era, including Larry Holmes and Mike Tyson, died on April 7 in Valhalla, N.Y. He was 53.
 
The cause was complications of throat cancer, said his sister, Shirl Parsons. Williams, who died at Westchester Medical Center, lived in Jamaica, Queens."	http://query.nytimes.com/gst/fullpage.html?res=9D04E1D7153EF934A25757C0A9659D8B63
Nathan Azrin, 82, a Pioneer In Changing Behaviors, Dies	"When Nathan Azrin was appointed director of treatment development at Anna State Hospital in Illinois in 1958, a majority of the patients he was expected to treat were schizophrenic, emotionally withdrawn and in many cases mute after years in institutions. Few bothered getting dressed, spending their days in hospital gowns.
 
Getting his patients to dress, Dr. Azrin decided, would be his first treatment."	http://query.nytimes.com/gst/fullpage.html?res=9C03E5D9153EF934A25757C0A9659D8B63
Robert Byrne, a Chess Grandmaster, Dies at 84	"Robert Byrne, an international grandmaster and United States chess champion who, as the chess columnist for The New York Times, analyzed top-flight matches from 1972 through 2006, the eras of Bobby Fischer and Garry Kasparov, died on Friday at his home in Ossining, N.Y. He was 84.
 
The cause was Parkinson’s disease, said Joyce Dopkeen, a friend."	http://query.nytimes.com/gst/fullpage.html?res=9800E3DA163EF936A25757C0A9659D8B63
Ralph Sanchez, 64, Founder of Racetrack	"Ralph Sanchez, a Cuban-born businessman who brought auto racing to the streets of Miami in the 1980s and later built a major speedway in a city devastated by Hurricane Andrew, died on Monday at his home in Coral Gables, Fla. He was 64.
 
His death, after a series of illnesses, was confirmed by officials of the track he founded, Homestead-Miami Speedway."	http://query.nytimes.com/gst/fullpage.html?res=9D0CE7D71E3CF930A25757C0A9659D8B63
Ed Fisher, 86, New Yorker Cartoonist, Dies	"Ed Fisher, whose culturally savvy cartoons, featured in The New Yorker for nearly 50 years, made wry sport of modern life, frequently matching images from history or folklore with captions in an up-to-date mode, died on April 3 in Canaan, Conn. He was 86.
 
His son, Mark, who confirmed the death, said Mr. Fisher had advanced dementia and had learned he had Alzheimer’s disease in 2000."	http://query.nytimes.com/gst/fullpage.html?res=9B04E6D9173FF931A25757C0A9659D8B63
Hugh McCracken, 70, Who&#xd; Made His Sound in Studios	"Hugh McCracken, a virtuoso guitarist who was in such demand as a studio musician that he could afford to turn down Paul McCartney’s invitation to join the band Wings in 1971, died on Friday in Manhattan. He was 70.
 
The cause was leukemia, his wife of 43 years, Holly, said."	http://query.nytimes.com/gst/fullpage.html?res=9405E6D7153CF935A35757C0A9659D8B63
Eddie Bond, 79, Radio Host And Rockabilly Singer	"Eddie Bond, a rockabilly singer and radio host who once told a teenage Elvis Presley that he would be better off driving a truck than trying to make it in music, died on Wednesday at his home in Bolivar, Tenn. He was 79.
 
His death was confirmed by his daughter, Lisa Seawright, who said his health had been failing since a fall in 2011."	http://query.nytimes.com/gst/fullpage.html?res=9F05E5DF163DF932A35757C0A9659D8B63
Phil Ramone, 79, Producer Who Helped Music&#x2019;s Stars Shine	"Phil Ramone, a prolific record producer and engineer who worked with some of the biggest music stars of the last 50 years, including Ray Charles, Frank Sinatra, Paul Simon, Billy Joel and Barbra Streisand, died on Saturday in Manhattan. He was 79. Though it was widely reported that he was 72, public records and his family confirm that he was born Jan. 5, 1934.
 
His death was confirmed by his son Matthew. He did not immediately give the cause, but Mr. Ramone was reported to have been admitted to a Manhattan hospital in late February for treatment of an aortic aneurysm."	http://query.nytimes.com/gst/fullpage.html?res=9B07EFD7103DF932A35757C0A9659D8B63
Bob Turley, Yankee With a Blazing Fastball, Dies at 82	"Bob Turley, a Cy Young-winning, right-handed pitcher whose blazing fastball bore in on baffled hitters like a dissolving aspirin and lifted the Yankees to a come-from-behind victory over the Milwaukee Braves in the 1958 World Series, died in Atlanta on Saturday. He was 82. 
 
Turley, who lived in Alpharetta, Ga., died in hospice care at Lenbrook, a retirement community in Atlanta. The cause was liver cancer, his son, Terry, told The Baltimore Sun."	http://query.nytimes.com/gst/fullpage.html?res=9C04EFDB173CF932A35757C0A9659D8B63
Helen Kutsher, 89, Matriarch Of Grand Borscht Belt Resort	"Helen Kutsher, the matriarch of the last of the grand Catskill resorts, who greeted guests with a “Welcome home,” made sure the regulars got rooms facing the lake, entertained them with comedians and filled them with blintzes and stuffed cabbage, died on Tuesday in Philadelphia. She was 89 and lived most of her life in Monticello, N.Y., in a house on the grounds of the hotel. 
 
Her daughter Karen Wilson confirmed the death."	http://query.nytimes.com/gst/fullpage.html?res=9F0CE0DD123AF932A05750C0A9659D8B63
Tom Boerwinkle, 67, Who Set a Bulls Record	"Tom Boerwinkle, a stalwart center for the Chicago Bulls in the 1970s who once used his 7-foot frame to grab 37 rebounds in a game known both for that feat — a team record that still stands — and for the frigid conditions in which it was played, died on Tuesday at his home near Chicago. He was 67.
 
The cause was myelodysplastic syndrome, the Bulls said."	http://query.nytimes.com/gst/fullpage.html?res=9900EFDB123DF933A05750C0A9659D8B63
Buchenwald’s Liberation, as Seen by Louis Nemeth	In April 1945, Mr. Nemeth, a U.S. Army Signal Corps photographer, witnessed the horrors of the newly-liberated Buchenwald concentration camp.	http://www.nytimes.com/slideshow/2013/03/27/obituaries/20130328-BUCHENWALD.html
Mariam Farhat, 64, the &#x2018;Mother of Martyrs&#x2019;	"Mariam Farhat, a Palestinian lawmaker known as the “mother of martyrs” after three of her sons died in attacks against Israel , one of which was a suicide mission that she encouraged in a homemade video, died on Sunday in Gaza City. She was 64. 
 
Ms. Farhat, who was also known as Umm Nidal, had liver and bowel diseases, according to the Web site of the Izzedine al-Qassam Brigades , the military wing of the Islamic Hamas movement, which announced her death."	http://query.nytimes.com/gst/fullpage.html?res=9E0DE4D6113BF930A15750C0A9659D8B63
Richard D. Lyons, 84, a Versatile Reporter for The Times	"Richard D. Lyons, who covered science, Congress and the United Nations during almost 30 years as a reporter for The New York Times, died on Wednesday at his home in Charleston, S.C. He was 84. 
 
The cause was complications of vascular dementia, his wife, Susan, said."	http://query.nytimes.com/gst/fullpage.html?res=9B02E4D6143BF933A15750C0A9659D8B63
Jack Greene, 83, Grand Ole Opry Star	"NASHVILLE (AP) — Jack Greene, a longtime Grand Ole Opry star who earned fame with his hit “There Goes My Everything,” died on Thursday at his home here. He was 83.
 
The cause was complications of Alzheimer’s disease, said Jessie Schmidt, a spokeswoman for the Grand Ole Opry."	/data/daily/2013/03/20/229547.sgml
Tom Connors, 77, Who Set&#xd; Canada to Music, Is Dead	"Stompin’ Tom Connors, a Canadian country-folk singer whose odes to the vast country he had roamed as a hitchhiking troubadour — not least his paean to its national obsession in “The Hockey Song” — earned him renown from the Maritime Provinces to British Columbia, died on Wednesday at his home in Halton Hills, Ontario. He was 77. 
 
His Web site announced the death, citing natural causes."	http://query.nytimes.com/gst/fullpage.html?res=9403E1DE1139F93AA35750C0A9659D8B63
Lillian Cahn, 89, Creator of Coach Handbag	"Lillian Cahn, who founded the Coach Leatherware Company in a Manhattan loft in 1961 with her husband, Miles, and went on to help produce the “shopping bag” tote and other handbags that have become ubiquitous accessories in the wardrobes of well-heeled American women, died on Monday in Manhattan. She was 89.
 
Mr. Cahn confirmed her death."	http://query.nytimes.com/gst/fullpage.html?res=9C0DE3DB1738F93AA35750C0A9659D8B63
Mary Ellen Moore-Richard, 58,&#xd; American Indian Memoirist	"Mary Ellen Moore-Richard, who was a member of the American Indian Movement during its militant actions of the 1970s and who, under the name Mary Crow Dog, later wrote a well-received memoir, “Lakota Woman,” died on Feb. 14 in Crystal Lake, Nev. She was 58.
 
Her death was announced by Rooks Funeral Chapel in Mission, S.D."	http://query.nytimes.com/gst/fullpage.html?res=9E06E5D61739F935A35750C0A9659D8B63
Sylvia Smith, 67, Memoirist of the Life Banal	"Sylvia Smith — who dropped out of high school at 15, never married, lived most of her life in London rooming houses, never had a great adventure or suffered a great misfortune, and never read books by most accounts — began writing her memoirs in her late 40s, when illness and a government disability pension had allowed her to quit the last of a long series of secretarial jobs, most of them as a temp. 
 
It was an unlikely foundation for a literary career. Just as unlikely was the literary stir she created with her first book, “Misadventures,” published in 2001 when she was 55 after years of work and hundreds of rejection letters."	http://query.nytimes.com/gst/fullpage.html?res=9B02EEDB1330F937A35750C0A9659D8B63
Wojciech Inglot, 57; Solved a Problem for Muslim Women	"Wojciech Inglot, a Polish chemist and cosmetics executive who developed a “breathable” nail polish that found an unexpected market among Muslim women, died on Feb. 23 in Przemysl, Poland. He was 57.
 
The cause was internal hemorrhaging, said Marek Skulimowski, the director of United States operations and marketing for Inglot Cosmetics."	http://query.nytimes.com/gst/fullpage.html?res=9D0CE2DC1430F931A35750C0A9659D8B63
Last Word: Ed Koch	In an interview conducted in 2007, former Mayor Edward I. Koch reflected on his life and political career, and talked of how he would like to be remembered.	http://www.nytimes.com/video/obituaries/1194834046901/last-word-ed-koch.html
A Mayor to Remember	Edward I. Koch served nine years in Congress, but he returned to New York every chance he got. Being away from his beloved city too long, he said, gave him “the bends.” His love affair with the city — often not unrequited — would last a lifetime.	http://www.nytimes.com/slideshow/2013/01/16/obituaries/20130301-KOCH.html
Jeanne Manford, 92, Who Stood Up for Her Gay Son, Inspiring Others, Dies	Mrs. Manford, whose son, a gay-rights advocate, was beaten in 1972, founded Parents, Families and Friends of Lesbians and Gays.	http://www.nytimes.com/2013/01/11/obituaries/jeanne-manford-founder-of-pflag-dies-at-92.html
Notable Deaths of 2012	Remembering Etta James, Don Cornelius, Whitney Houston, Anthony Shadid, Adrienne Rich, Dick Clark, Donna Summer, Nora Ephron, Andy Griffith, Gore Vidal and others who died this year.	http://www.nytimes.com/interactive/obituaries/notable-deaths-of-2012.html
A Legendary Modernist	Oscar Niemeyer, the Brazilian architect who created flowing designs, infused Modernism with a new sensuality and inspired of generations of architects worldwide, died Wednesday. He was 104.	http://www.nytimes.com/slideshow/2012/12/04/obituaries/20121206_NIEMEYER.html
The Photographs of Cornel Lucas	Images by the photographer.	http://www.nytimes.com/slideshow/2012/11/16/obituaries/20121116LUCAS.html
George McGovern Dies at 90	In a statement, President Obama called Mr. McGovern “a champion for peace” who was a “statesman of great conscience and conviction.”	http://www.nytimes.com/slideshow/2012/10/17/obituaries/MCGOVERN-OBIT.html
Arlen Specter, 1930-2012	The senator from Pennsylvania led the Judiciary Committee through one of its most tumultuous periods, even while battling Hodgkin’s disease in 2005.	http://www.nytimes.com/slideshow/2012/10/14/obituaries/15specter_ss.html
Eli Zborowski, 86, Leader in Holocaust Remembrance, Dies	Eli Zborowski, a survivor of the Holocaust who made it his mission to ensure that it would never be forgotten, founded an American organization to support Israel's official Holocaust memorial and raised more than $100 million for it, died on Monday in Queens. He was 86. The cause was cardiac arrest, said Rochel Berman, who, with her husband, George, published a biography of Mr. Zborowski last year.	http://query.nytimes.com/gst/fullpage.html?res=9801E3D91331F935A2575AC0A9649D8B63
Eli Zborowski, 86, Leader in Holocaust Remembrance, Dies	Eli Zborowski, a survivor of the Holocaust who made it his mission to ensure that it would never be forgotten, founded an American organization to support Israel's official Holocaust memorial and raised more than $100 million for it, died on Monday in Queens. He was 86. The cause was cardiac arrest, said Rochel Berman, who, with her husband, George, published a biography of Mr. Zborowski last year.	http://query.nytimes.com/gst/fullpage.html?res=9C03E2DC1F31F935A2575AC0A9649D8B63
Gaeton Fonzi, 76, Assassination Investigator	Gaeton Fonzi was one of the most relentless investigators on the House Select Committee on Assassinations in the late 1970s, remembered by former colleagues with both awe and echoes of the impatience he inspired with his pursuit of the full story behind the assassination of President John F. Kennedy . They called him Ahab.	http://query.nytimes.com/gst/fullpage.html?res=9C00E3D7133EF930A2575AC0A9649D8B63
Munnu Kasliwal, 54, Jeweler for the Elite	From an old mansion on Mirza Ismail Road in Jaipur, India, the jeweler Munnu Kasliwal presided over an unlikely global empire. To the broader public Mr. Kasliwal's name was not nearly as familiar as those of Cartier or Harry Winston, but his family-owned emporium, the Gem Palace , has for decades been a valued secret passed along via word of mouth by international connoisseurs. Collected by European royals, Italian designers, Arab sheiks, international society queens and the merely moneyed, who could find his designs for sale at the Metropolitan Museum of Art and the Neue Galerie in Manhattan as well as at Barneys New York, Mr. Kasliwal's baubles were also particular favorites of celebrities, whom he cultivated with unassuming charm.	http://query.nytimes.com/gst/fullpage.html?res=9805E3D7123EF931A2575AC0A9649D8B63
Sy J. Schulman, 86, New York Parks Planner	Sy J. Schulman, who smoothed the way for a controversial sewage plant in Harlem by offering state financing for a park with playgrounds and ball fields atop the structure, now known as the popular Riverbank State Park, died on Sept. 1 at his home in White Plains, where he once served as mayor. He was 86. The cause was pancreatic cancer, his son Ethan said.	http://query.nytimes.com/gst/fullpage.html?res=9E0DE6DD1F3FF933A2575AC0A9649D8B63
Smarck Michel, 75, Haitian Ex-Prime Minister	PORT-AU-PRINCE, Haiti (AP) -- Smarck Michel, a businessman who served for almost a year as Haiti's prime minister after the United States restored President Jean-Bertrand Aristide to power in the mid-1990s, died at his home here on Saturday. He was 75. The cause was a brain tumor, his son, Kenneth, said.	/data/daily/2012/09/08/598178.sgml
John F. Stacks, 70, Writer and Editor at Time	John F. Stacks, a former reporter and senior editor at Time magazine and the author of a well-regarded biography of James B. Reston, the influential editor and columnist for The New York Times, died on Tuesday in Manhattan. He was 70. The cause was prostate cancer, his son Benjamin said.	http://query.nytimes.com/gst/fullpage.html?res=9400E0D6143FF934A3575AC0A9649D8B63
Lawrence Mead Jr., Aerospace Engineer for Grumman, Dies at 94	Lawrence Mead Jr., an aerospace engineer who led the design team for the A-6 Intruder , the bulky twin-engine jet that was the Navy's primary attack bomber for more than three decades, died on Aug. 23 in New Haven. He was 94. His son Lawrence Mead III confirmed his death.	http://query.nytimes.com/gst/fullpage.html?res=9C03E1DA133FF934A3575AC0A9649D8B63
Alan M. Kriegsman, 84; Won Pulitzer for Criticism	Alan M. Kriegsman, a longtime dance critic for The Washington Post and the first dance critic to win a Pulitzer Prize, died on Friday at his home in Washington. He was 84. The cause was heart disease, his wife, Sali Ann Kriegsman, a former dance director of the National Endowment of the Arts, said.	http://query.nytimes.com/gst/fullpage.html?res=950CE2DD103CF935A3575AC0A9649D8B63
George L. Gunther, 92; Served 40 Years in Connecticut Legislature	George L. Gunther, an iconoclastic Republican state senator from Connecticut who spent 40 years in office, making him the state's longest-serving member of the General Assembly, died on Sunday in Branford, Conn. He was 92 and lived in Stratford. The cause was cancer, his daughter Karla Gunther Mazzey said.	http://query.nytimes.com/gst/fullpage.html?res=9A0CEEDB103DF937A3575AC0A9649D8B63
Byard Lancaster, 70, Jazz Alto Saxophonist	Byard Lancaster , an alto saxophonist who took part in the great wave of free jazz inspired by John Coltrane and then diversified far into other music and cultures -- living in Nigeria, France and Chicago, playing blues, reggae and Afrobeat -- but kept returning to Philadelphia, his hometown, died on Aug. 23 at a hospice in Wyndmoor, Pa. He was 70. The cause was cancer, said his sister, Mary Ann Lancaster Tyler.	http://query.nytimes.com/gst/fullpage.html?res=9E00EFD9123CF937A3575AC0A9649D8B63
